Func_id	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen01_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen03_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen04_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen05_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen06_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen07_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen10_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen12_06102014_R2	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen14_06102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen15_06102014_R2	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen16_06102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen17_06102014_R1
pfam10041	1997	2207	2135	2154	1792	1810	1499	1288	1465	1398	5626	1951
pfam10042	141	150	68	126	282	115	27	128	55	38	196	265
pfam10043	36	34	14	21	46	51	38	45	59	18	430	129
pfam10044	0	0	0	0	0	0	0	0	2	0	0	0
pfam10045	11	13	4	22	20	31	3	0	3	0	55	3
pfam10046	0	0	0	3	0	0	0	0	4	0	13	0
pfam10047	420	107	116	124	107	134	82	192	353	179	849	118
pfam10048	726	388	313	512	248	323	714	386	72	390	681	254
pfam10049	454	832	522	608	709	354	1245	1543	1212	1144	3530	169
pfam10050	0	0	0	0	0	0	0	0	0	0	0	0
pfam10051	0	0	0	0	0	0	149	0	0	0	0	0
pfam10052	6	0	10	11	0	0	0	16	0	0	7	0
pfam10053	17	24	4	36	29	20	12	5	8	0	21	11
pfam10054	21	70	36	35	60	49	65	65	46	37	107	56
pfam10055	54	253	62	118	172	101	290	209	272	135	499	213
pfam10056	201	145	224	116	196	135	143	113	94	37	302	110
pfam10057	613	763	783	452	810	544	529	166	1026	216	2449	409
pfam10058	18	31	13	0	13	6	0	11	0	3	22	0
pfam10060	1649	309	617	433	576	490	1061	1289	1816	1100	1902	401
pfam10061	9	30	9	55	30	39	233	46	4	152	6	11
pfam10062	9	10	10	14	5	6	0	0	0	0	19	0
pfam10063	0	0	0	0	0	0	0	19	0	3	0	0
pfam10065	68	18	15	56	47	119	12	191	24	336	98	31
pfam10066	184	627	294	307	517	303	752	444	564	518	1630	471
pfam10067	1099	1053	1342	1155	1208	895	158	795	702	773	2333	494
pfam10069	72	61	5	40	45	12	439	60	31	12	133	30
pfam10070	328	536	659	680	895	855	1631	882	686	824	1622	579
pfam10071	11	15	11	0	4	10	0	0	0	0	12	12
pfam10073	641	942	866	780	1057	860	836	953	327	693	1314	303
pfam10074	368	217	162	307	391	274	235	682	178	703	531	13
pfam10075	29	15	0	9	15	0	3	0	0	0	5	0
pfam10076	76	61	13	8	41	51	31	47	39	186	122	123
pfam10077	267	291	143	111	140	162	12	121	60	47	347	130
pfam10078	0	0	0	0	0	0	0	0	0	0	0	0
pfam10079	2179	2950	3369	3273	1792	2327	4353	3504	2322	1371	4344	2262
pfam10080	826	841	1033	1019	683	662	1180	3325	1162	1277	2126	250
pfam10081	74	145	123	81	78	123	109	42	52	61	452	280
pfam10082	1029	1335	976	1305	1062	1276	800	1570	528	1040	2990	776
pfam10083	73	69	58	63	67	105	127	78	115	87	168	11
pfam10084	7	0	18	17	3	0	3	0	0	0	18	0
pfam10086	201	45	96	77	94	57	1698	364	750	355	346	25
pfam10087	110	148	43	72	476	49	51	244	15	44	58	22
pfam10088	32	18	19	32	41	43	17	12	40	181	133	11
pfam10090	713	1078	943	1004	1181	919	1148	865	378	716	1467	566
pfam10091	4122	6372	6264	6838	4028	4922	6533	5535	4362	4028	8073	5721
pfam10092	1444	1385	1290	1226	1109	903	157	958	685	530	2425	2483
pfam10093	42	96	83	32	53	54	9	0	0	5	77	177
pfam10094	932	1121	959	930	601	759	2178	1572	1087	1082	2177	855
