Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen01_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen03_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen04_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen05_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen06_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen07_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen10_05102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen12_06102014_R2	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen14_06102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen15_06102014_R2	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen16_06102014_R1	Surface_soil_microbial_communities_from_Centralia_Pennsylvania_which_are_recovering_from_an_underground_coalmine_fire_Coalmine_Soil_Cen17_06102014_R1
EC:2.4.2.45	331	380	433	379	236	275	99	65	177	126	208	400
EC:2.4.2.46	80	44	49	31	35	35	22	9	23	31	43	79
EC:2.4.2.47	70	75	103	90	52	81	10	17	31	32	32	88
EC:2.4.2.52	280	380	335	329	283	247	93	50	90	89	190	386
EC:2.4.2.53	452	630	816	758	445	558	73	88	126	188	293	874
EC:2.4.2.54	37	48	62	54	40	34	9	7	20	13	19	61
EC:2.4.2.6	1	4	7	7	2	1	4	1	0	2	1	4
EC:2.4.2.7	844	1121	1231	1098	802	925	280	199	350	359	477	1134
EC:2.4.2.8	973	1333	1570	1326	982	1190	296	272	434	449	649	1445
EC:2.4.2.9	990	1547	1469	1296	961	1216	351	290	470	593	645	1629
EC:2.4.99.-	0	3	1	1	0	6	0	0	0	0	0	0
EC:2.4.99.12	1477	2667	2583	2581	1808	2101	527	397	557	667	1042	2620
EC:2.4.99.16	1476	2072	2119	2069	1468	1633	724	385	738	751	1004	1794
EC:2.4.99.17	2244	3155	3512	3127	2095	2670	565	554	863	917	1363	3614
EC:2.4.99.18	151	229	211	300	156	172	29	38	40	40	123	203
EC:2.4.99.19	1	1	0	0	0	0	1	0	0	0	0	1
EC:2.5.1.-	5405	7314	7974	7113	5067	6159	1601	1435	2236	2475	3478	7925
EC:2.5.1.1	1975	2651	2917	2592	1935	2160	751	541	835	899	1328	2779
EC:2.5.1.105	699	648	968	649	415	582	77	92	140	133	266	841
EC:2.5.1.108	22	35	61	71	32	39	9	4	9	11	17	9
EC:2.5.1.114	10	16	7	20	5	7	2	2	3	2	4	3
EC:2.5.1.120	533	817	934	717	562	741	164	159	269	299	364	1066
EC:2.5.1.15	1867	2701	2810	2665	1789	2204	716	511	818	886	1153	2822
EC:2.5.1.16	2296	3980	4393	3857	2554	3215	344	612	934	1084	1932	5989
EC:2.5.1.17	740	1040	1034	909	637	836	205	199	323	343	484	1077
EC:2.5.1.18	6047	9134	8787	7985	6376	6603	1684	1402	2046	2617	3440	8265
EC:2.5.1.19	2442	3590	3918	3348	2423	2920	913	624	1171	1109	1630	3612
EC:2.5.1.2	2	4	5	2	0	7	0	0	1	0	1	3
EC:2.5.1.21	334	490	492	407	358	360	98	87	117	129	219	464
EC:2.5.1.26	1198	1265	1390	1255	845	1033	298	258	514	464	702	1568
EC:2.5.1.3	1704	2664	2766	2677	1703	2049	596	449	739	735	1222	2519
EC:2.5.1.30	410	406	542	388	285	368	156	92	188	171	242	508
EC:2.5.1.31	1172	1849	1955	1763	1254	1680	349	292	523	555	831	1685
EC:2.5.1.32	1552	2369	2424	2088	1715	1858	719	463	703	804	1083	2051
EC:2.5.1.41	19	23	51	63	13	25	2	5	6	3	7	11
EC:2.5.1.42	99	84	123	111	58	84	23	16	35	29	46	77
EC:2.5.1.43	4	6	9	1	2	4	2	1	1	0	4	1
EC:2.5.1.44	226	434	411	357	280	391	65	66	68	100	140	379
EC:2.5.1.46	761	1160	1342	1214	788	1048	165	264	332	440	498	1284
EC:2.5.1.47	2961	3699	4128	3545	2639	3130	832	736	1169	1368	1525	4006
EC:2.5.1.48	1899	2347	2647	2402	1692	1931	533	434	709	744	1024	2415
EC:2.5.1.49	1376	1770	1976	1678	1300	1418	552	351	503	572	637	1352
EC:2.5.1.54	2416	3163	3584	3167	2273	2794	712	719	1027	1155	1424	3192
EC:2.5.1.55	649	1029	1120	1049	771	953	205	196	319	393	434	1218
EC:2.5.1.56	1140	1845	2141	1876	1136	1691	254	239	458	549	1076	2291
EC:2.5.1.6	1120	1536	1856	1583	1218	1530	327	370	568	608	703	1631
EC:2.5.1.60	135	150	230	91	126	135	15	31	49	61	99	222
EC:2.5.1.61	1689	2395	2588	2387	1643	2057	577	455	748	778	1121	2502
EC:2.5.1.62	67	97	118	71	87	69	33	18	18	20	29	193
EC:2.5.1.66	8	7	16	5	0	2	0	1	2	1	2	7
EC:2.5.1.68	96	168	145	137	85	126	73	20	53	59	63	145
EC:2.5.1.7	1959	2680	3168	2503	1989	2658	638	591	894	1033	1417	2800
EC:2.5.1.72	1025	1424	1495	1460	1005	1297	363	312	430	516	623	1557
EC:2.5.1.73	0	0	1	0	0	0	0	0	0	0	1	0
EC:2.5.1.75	1851	2825	2973	2651	1859	2402	585	487	806	802	1349	2847
EC:2.5.1.76	33	50	42	48	41	23	10	12	16	7	24	11
EC:2.5.1.77	76	165	166	126	103	143	10	29	62	57	65	121
EC:2.5.1.78	857	1238	1299	1173	806	975	331	250	336	363	546	1161
EC:2.5.1.84	31	28	29	25	28	24	6	13	22	16	21	29
EC:2.5.1.86	6	2	1	5	5	2	0	0	3	4	2	2
EC:2.5.1.89	23	42	60	69	25	50	9	8	6	12	15	21
EC:2.5.1.9	1013	1553	1629	1475	1071	1270	315	294	462	508	723	1545
EC:2.5.1.90	1038	1547	1705	1480	1157	1309	344	325	458	496	698	1652
EC:2.5.1.96	0	0	0	0	0	0	0	0	0	0	1	0
EC:2.5.1.97	21	33	47	39	18	28	3	3	6	14	21	46
EC:2.6.1.-	4115	5222	6049	4953	3762	4463	1193	1143	1839	1889	2747	5958
EC:2.6.1.1	2509	3366	3922	3231	2451	3077	702	662	1000	1119	1582	3883
EC:2.6.1.102	2068	2760	3429	3007	1697	2504	354	427	786	841	1460	3272
EC:2.6.1.11	1921	2701	2867	2531	1819	2357	667	504	817	891	1133	2809
EC:2.6.1.13	974	1465	1581	1484	1058	1201	374	239	477	496	638	1233
EC:2.6.1.16	4028	5183	5766	4960	3685	4563	1357	983	1618	1783	2312	5106
EC:2.6.1.17	546	736	682	663	534	604	164	156	240	299	324	816
EC:2.6.1.18	319	470	540	428	353	348	116	99	150	156	158	466
EC:2.6.1.19	2668	3601	4088	3665	2452	2877	644	657	1019	1034	1443	3741
EC:2.6.1.2	282	412	438	301	265	382	107	85	107	183	167	489
EC:2.6.1.21	424	748	692	591	508	556	185	124	209	217	354	721
EC:2.6.1.34	4	4	2	7	3	5	0	0	0	1	2	11
EC:2.6.1.36	145	221	225	179	137	146	38	36	60	83	116	354
EC:2.6.1.37	338	450	415	349	314	381	134	72	100	114	221	418
EC:2.6.1.40	112	203	207	166	134	171	24	44	61	62	72	304
EC:2.6.1.42	3015	4346	4522	4093	3046	3616	891	819	1304	1497	2123	4535
EC:2.6.1.44	1203	1859	1950	1749	1134	1436	358	324	468	517	707	1723
EC:2.6.1.50	41	63	71	62	32	47	10	7	14	16	33	59
EC:2.6.1.52	862	1454	1462	1294	1026	1228	322	247	393	490	517	1388
EC:2.6.1.55	491	666	741	604	475	530	147	111	181	248	213	875
EC:2.6.1.57	194	263	277	279	252	305	76	73	67	122	141	315
EC:2.6.1.59	421	638	686	676	454	559	82	67	141	177	296	809
EC:2.6.1.62	1190	1992	2000	1879	1378	1710	316	358	514	583	835	1882
EC:2.6.1.64	7	9	9	7	14	4	12	7	2	4	9	2
EC:2.6.1.66	17	28	26	32	19	15	2	3	14	19	27	30
EC:2.6.1.76	260	282	284	308	192	221	72	45	101	73	143	242
EC:2.6.1.77	20	38	39	28	15	33	2	5	8	2	12	22
EC:2.6.1.81	6	5	5	11	7	4	1	0	2	6	2	11
EC:2.6.1.82	339	429	504	383	337	374	93	103	174	164	226	406
EC:2.6.1.83	648	852	1013	815	539	746	147	216	265	321	460	1065
EC:2.6.1.84	139	163	177	160	134	123	20	26	36	37	40	123
EC:2.6.1.85	1323	2008	1895	1813	1365	1592	445	340	468	623	974	2399
EC:2.6.1.86	99	72	39	53	34	54	34	11	28	34	62	85
EC:2.6.1.87	145	213	264	183	106	221	26	36	66	75	113	248
EC:2.6.1.9	3672	5057	5625	5222	3407	4282	1137	871	1502	1632	2347	5311
EC:2.6.1.92	3	5	0	3	1	3	1	1	1	2	1	7
EC:2.6.1.96	321	518	518	427	334	393	122	80	117	121	196	425
EC:2.6.1.97	6	11	14	31	2	8	2	2	3	1	3	3
EC:2.6.1.98	165	286	304	291	191	250	34	59	65	83	134	272
EC:2.6.99.2	582	937	1036	866	685	754	156	157	229	287	387	1255
EC:2.7.-	1203	1757	1814	1728	1148	1451	355	329	587	594	784	1935
EC:2.7.1.-	1445	1564	1857	1388	1132	1340	435	310	451	547	775	1786
EC:2.7.1.1	46	49	39	26	57	17	15	11	4	10	47	13
EC:2.7.1.100	283	380	440	338	320	313	107	75	138	121	185	293
EC:2.7.1.105	74	105	96	106	91	62	12	33	27	21	47	58
EC:2.7.1.107	304	464	510	335	308	386	102	98	132	154	258	455
EC:2.7.1.11	2633	3601	4113	3369	2643	3217	669	694	1071	1185	1647	4185
EC:2.7.1.113	20	31	25	25	13	23	8	4	5	2	14	26
EC:2.7.1.119	47	86	109	67	60	77	11	8	11	25	32	113
EC:2.7.1.12	970	1083	1327	1002	765	885	361	260	470	441	654	1228
EC:2.7.1.13	1	3	0	5	3	3	1	1	0	0	2	2
EC:2.7.1.130	1061	1913	2044	1969	1369	1565	337	311	441	516	835	2014
EC:2.7.1.14	51	60	69	48	56	65	4	11	16	18	31	43
EC:2.7.1.144	204	281	271	200	174	185	113	56	120	81	187	269
EC:2.7.1.146	25	25	27	27	21	15	12	5	9	10	21	35
EC:2.7.1.148	1398	2206	2285	2005	1506	1683	519	366	656	645	1074	2445
EC:2.7.1.15	2189	2712	2939	2771	1787	2090	806	474	852	832	1376	2673
EC:2.7.1.156	497	631	743	623	403	464	172	132	196	200	364	480
EC:2.7.1.16	747	1142	1113	1042	737	871	328	190	322	402	443	1079
EC:2.7.1.161	40	52	73	87	26	47	6	8	17	14	30	45
EC:2.7.1.162	6	10	9	13	3	6	0	1	1	7	3	11
EC:2.7.1.164	0	2	1	4	1	2	1	1	1	2	0	1
EC:2.7.1.165	84	91	144	102	35	106	3	15	20	29	61	81
EC:2.7.1.166	71	120	110	98	77	105	19	27	30	39	45	131
EC:2.7.1.167	1669	2604	2728	2678	1841	2170	542	463	748	734	1179	2229
EC:2.7.1.168	1599	2360	2736	2760	1420	1994	345	368	650	601	993	2088
EC:2.7.1.169	13	23	42	35	18	24	4	6	3	9	11	14
EC:2.7.1.17	3151	3889	4278	3840	2724	2983	1182	731	1152	1160	1734	4283
EC:2.7.1.170	1254	1916	2093	1937	1421	1649	485	303	523	564	856	1594
EC:2.7.1.173	1	0	0	0	1	0	1	0	0	1	2	0
EC:2.7.1.175	286	419	376	351	250	270	169	73	188	188	222	467
EC:2.7.1.176	1	7	1	1	3	2	0	0	0	0	1	1
EC:2.7.1.177	32	35	31	32	20	19	2	8	9	6	14	16
EC:2.7.1.178	2	5	9	1	4	2	1	1	1	1	0	1
EC:2.7.1.179	10	6	6	1	4	3	4	0	0	1	6	6
EC:2.7.1.19	253	218	261	216	135	186	69	54	61	76	100	159
EC:2.7.1.2	4396	5719	6277	5674	3832	4500	1641	1133	1837	1832	2738	6262
EC:2.7.1.20	365	544	583	427	331	371	144	83	170	188	228	592
EC:2.7.1.21	298	438	476	495	328	495	133	96	172	185	245	617
EC:2.7.1.23	1446	2277	2322	2072	1514	1838	524	403	638	714	999	2256
EC:2.7.1.24	1372	2075	2084	1776	1275	1546	453	351	614	617	924	2046
EC:2.7.1.25	1776	2756	2947	2751	1849	2161	540	463	768	841	1247	2435
EC:2.7.1.26	1741	2525	2694	2655	1773	2133	623	439	818	824	1224	2654
EC:2.7.1.27	35	66	37	68	57	44	39	19	14	28	33	50
EC:2.7.1.29	245	314	230	285	233	223	204	63	103	112	162	313
EC:2.7.1.3	3	5	4	2	9	4	1	0	3	2	4	2
EC:2.7.1.30	2380	2996	3199	3000	2145	2608	879	629	955	1037	1188	3199
EC:2.7.1.31	983	1316	1345	1113	765	995	446	214	475	441	686	1608
EC:2.7.1.33	1400	2055	2208	1852	1479	1692	560	418	643	706	1059	2292
EC:2.7.1.35	207	261	262	248	217	220	92	47	55	91	113	229
EC:2.7.1.36	191	290	370	391	233	326	26	57	84	84	148	241
EC:2.7.1.37	123	145	194	170	112	140	22	26	32	36	87	216
EC:2.7.1.39	1596	2078	2228	2028	1515	1582	633	409	706	709	1002	2326
EC:2.7.1.4	1767	2187	2285	2156	1655	1708	737	379	716	675	994	2070
EC:2.7.1.40	2175	3333	3454	2982	2390	3020	705	624	958	1118	1550	3632
EC:2.7.1.43	87	118	146	87	85	62	27	14	51	47	77	179
EC:2.7.1.45	1367	1819	1951	1660	1237	1575	529	308	480	595	771	2062
EC:2.7.1.46	149	220	193	190	154	124	41	41	75	78	84	351
EC:2.7.1.47	135	183	144	154	127	99	37	29	24	54	49	105
EC:2.7.1.48	437	656	624	641	439	535	120	119	162	220	370	850
EC:2.7.1.49	1101	1703	1777	1754	1137	1392	432	269	505	516	721	1617
EC:2.7.1.5	1025	1348	1398	1292	975	1022	382	217	366	374	559	1638
EC:2.7.1.50	120	165	186	166	115	134	74	34	59	68	99	171
EC:2.7.1.51	8	9	5	6	13	12	1	0	3	4	7	10
EC:2.7.1.52	42	56	63	46	63	56	4	12	21	15	34	41
EC:2.7.1.53	34	58	54	59	48	45	20	14	12	18	20	56
EC:2.7.1.55	5	12	8	9	7	4	0	2	1	2	0	4
EC:2.7.1.56	451	508	569	452	359	445	192	129	251	228	340	701
EC:2.7.1.58	245	354	340	336	291	283	126	53	81	140	140	423
EC:2.7.1.59	189	300	285	278	201	257	79	70	82	72	160	272
EC:2.7.1.6	1357	1706	1865	1562	1182	1397	484	326	620	613	794	2006
EC:2.7.1.60	57	106	82	110	69	75	33	26	20	26	51	40
EC:2.7.1.63	723	1172	1236	1152	760	842	236	175	297	300	474	1131
EC:2.7.1.65	9	14	19	11	7	18	4	0	4	3	8	22
EC:2.7.1.66	11	11	12	12	7	8	0	0	2	2	6	13
EC:2.7.1.69	1079	1415	1705	1267	1033	1252	263	233	326	479	753	1859
EC:2.7.1.71	1481	2012	2176	1960	1313	1603	537	376	648	655	1004	2040
EC:2.7.1.72	619	723	830	703	463	535	213	127	255	234	389	929
EC:2.7.1.73	2	3	0	2	2	3	1	2	1	3	2	3
EC:2.7.1.74	12	16	25	18	13	26	7	4	7	9	21	30
EC:2.7.1.76	35	46	54	37	31	51	6	5	16	28	22	83
EC:2.7.1.83	51	76	67	55	43	62	37	30	27	28	47	81
EC:2.7.1.87	6	2	3	3	4	6	0	1	5	6	2	16
EC:2.7.1.89	12	34	21	20	15	14	1	3	2	5	8	24
EC:2.7.1.90	77	102	108	95	69	132	18	21	16	47	75	118
EC:2.7.1.91	3	17	5	8	6	8	0	6	2	5	4	6
EC:2.7.1.92	348	448	448	440	301	362	134	88	122	153	214	608
EC:2.7.1.95	108	126	124	119	86	85	52	27	42	37	62	106
EC:2.7.10.-	1755	2550	2740	2694	1736	1959	607	371	632	729	1157	2424
EC:2.7.10.1	726	1090	1009	953	658	741	274	145	311	273	579	1084
EC:2.7.10.2	660	816	971	775	507	529	187	139	299	273	441	934
EC:2.7.11.-	364	599	659	561	447	537	86	90	147	201	267	841
EC:2.7.11.1	73183	90370	101561	84676	66851	69890	12480	17352	25334	26160	43015	112057
EC:2.7.11.5	241	373	416	316	271	267	53	67	73	114	176	475
EC:2.7.13.-	5	3	4	1	1	5	2	2	2	0	5	2
EC:2.7.13.1	1452	2287	2390	2427	1403	1813	250	287	463	463	806	1776
EC:2.7.13.3	48068	67070	70580	63188	46301	55488	13227	11935	19660	21273	32498	69382
EC:2.7.2.-	259	167	275	162	121	177	38	54	101	74	123	255
EC:2.7.2.1	2174	3284	3454	3089	2051	2555	664	542	861	842	1374	3015
EC:2.7.2.11	1172	1798	1685	1472	1250	1413	393	314	553	599	865	1871
EC:2.7.2.15	1	5	3	1	2	1	2	3	0	1	0	1
EC:2.7.2.2	440	424	667	376	308	418	84	71	188	168	291	728
EC:2.7.2.3	1814	2675	3176	2630	1850	2520	649	492	761	925	1173	2515
EC:2.7.2.4	2288	3283	3756	3185	2294	2983	661	688	1012	1144	1409	3421
EC:2.7.2.7	48	73	101	121	46	50	11	11	26	15	29	15
EC:2.7.2.8	1286	1894	2020	1835	1353	1543	361	409	641	694	826	2076
EC:2.7.3.2	8	12	8	6	9	18	5	1	3	2	4	7
EC:2.7.3.3	58	132	115	113	83	91	8	15	15	21	52	141
EC:2.7.3.9	2517	3415	3653	3188	2600	2921	682	688	914	1139	1604	4114
EC:2.7.4.-	0	1	0	0	3	0	1	1	1	0	0	2
EC:2.7.4.1	2843	4002	4351	3712	2893	3239	852	742	1193	1282	1677	4747
EC:2.7.4.14	1569	2129	2426	2144	1524	1866	478	417	709	734	1054	2180
EC:2.7.4.16	1617	2484	2616	2581	1645	1970	655	460	719	738	1101	2568
EC:2.7.4.2	83	105	119	97	71	70	16	38	23	30	59	120
EC:2.7.4.22	799	1226	1410	1151	897	1166	241	268	421	468	560	1212
EC:2.7.4.23	70	102	97	79	71	86	32	18	21	23	33	41
EC:2.7.4.26	49	37	55	62	19	32	2	6	7	14	27	46
EC:2.7.4.3	1711	2659	2794	2407	1728	2209	572	475	797	778	1288	2665
EC:2.7.4.6	706	1089	1342	1084	734	1071	218	206	311	374	636	1042
EC:2.7.4.8	1100	1600	1679	1451	1128	1405	373	304	534	532	858	1633
EC:2.7.4.9	2579	3716	3881	3632	2447	3158	835	745	1137	1218	2050	4305
EC:2.7.6.1	1540	2042	2407	1998	1653	1939	472	529	771	890	1116	2129
EC:2.7.6.2	180	191	292	163	182	190	55	41	77	91	122	292
EC:2.7.6.3	990	1480	1615	1499	1025	1196	350	268	417	452	690	1657
EC:2.7.6.5	2559	3345	3928	3288	2512	3212	738	763	1088	1212	1626	3367
EC:2.7.7.-	3973	5274	5815	5291	3603	4623	1328	959	1661	1701	2609	5184
EC:2.7.7.1	129	96	138	147	81	147	31	15	19	31	55	107
EC:2.7.7.12	1302	1684	2096	1769	1208	1542	434	305	537	595	847	1789
EC:2.7.7.13	4243	5891	6553	5866	3964	4918	1317	1114	1815	1859	2639	5843
EC:2.7.7.15	5	9	8	5	7	6	0	0	1	1	5	9
EC:2.7.7.18	1204	1864	1892	1686	1225	1456	380	300	543	567	917	1973
EC:2.7.7.19	2067	2918	3208	2846	2046	2465	665	551	973	964	1309	2703
EC:2.7.7.23	295	406	387	364	342	309	73	78	124	124	245	453
EC:2.7.7.24	1835	2289	2880	2323	1787	2227	567	483	862	963	1242	3016
EC:2.7.7.27	1376	1981	2100	1824	1511	1741	346	361	611	750	942	2433
EC:2.7.7.3	836	1267	1298	1061	819	1113	294	233	363	405	567	1306
EC:2.7.7.33	1009	1481	1668	1539	855	1216	279	229	356	374	553	1648
EC:2.7.7.38	982	1502	1511	1461	1104	1294	289	270	405	448	630	1522
EC:2.7.7.39	120	219	205	201	107	191	31	27	57	56	125	241
EC:2.7.7.4	1891	2607	3080	2638	1686	2218	630	495	790	886	1106	2694
EC:2.7.7.41	1722	2686	2891	2527	1828	2148	618	431	745	805	1245	2779
EC:2.7.7.42	2369	3794	3621	3326	2558	2823	927	667	1012	1244	1636	4011
EC:2.7.7.43	340	596	656	559	342	535	52	84	121	202	427	972
EC:2.7.7.46	74	80	120	90	45	62	27	5	39	25	46	117
EC:2.7.7.47	93	108	134	67	67	102	27	20	36	29	52	125
EC:2.7.7.48	8	13	12	14	13	16	3	2	1	3	2	14
EC:2.7.7.49	2118	2012	2777	2532	1319	1860	311	291	530	450	826	2183
EC:2.7.7.53	18	16	21	14	27	13	2	3	1	10	14	19
EC:2.7.7.56	798	1114	1197	1104	846	1013	264	225	392	390	475	1238
EC:2.7.7.58	302	356	400	356	207	289	77	85	127	124	174	336
EC:2.7.7.59	2481	4160	4036	3862	2757	3175	947	665	1036	1242	1613	3983
EC:2.7.7.6	6988	9391	11667	9760	7523	10461	2078	2333	3049	3576	5061	8724
EC:2.7.7.60	1450	2209	2300	2114	1472	1780	575	403	666	699	1047	2425
EC:2.7.7.61	1	1	4	2	1	3	2	0	0	1	1	1
EC:2.7.7.63	691	758	851	754	572	650	172	201	247	259	399	888
EC:2.7.7.65	297	443	423	403	256	317	71	55	76	95	167	441
EC:2.7.7.66	58	98	66	111	46	40	16	9	10	16	22	77
EC:2.7.7.68	572	749	787	694	519	562	197	132	241	232	386	748
EC:2.7.7.7	33769	45624	50472	44047	32485	40378	11087	8842	14540	15879	23645	49533
EC:2.7.7.71	212	281	378	400	198	292	39	53	68	85	143	274
EC:2.7.7.72	984	1471	1800	1486	1044	1450	263	254	432	529	851	1911
EC:2.7.7.73	122	130	156	117	86	112	13	15	30	52	63	190
EC:2.7.7.74	53	89	100	83	63	50	25	15	29	39	50	150
EC:2.7.7.75	124	204	195	154	135	148	21	26	31	53	69	203
EC:2.7.7.76	1412	1989	1986	1881	1332	1469	515	335	589	592	888	2236
EC:2.7.7.77	996	1393	1442	1365	956	1082	342	261	428	395	655	1458
EC:2.7.7.8	2105	2938	3584	2964	2272	2948	624	604	948	1077	1518	2993
EC:2.7.7.81	0	2	1	1	2	2	0	0	0	0	2	0
EC:2.7.7.87	1543	2290	2377	2316	1657	1971	552	434	735	731	1192	2394
EC:2.7.7.9	1436	1947	2101	1767	1325	1694	491	385	633	710	984	1970
EC:2.7.8.-	3074	4403	4314	3589	2796	3615	824	736	1193	1392	2198	5612
EC:2.7.8.1	2	6	4	7	5	4	1	0	2	1	0	5
EC:2.7.8.11	4	7	7	4	10	5	3	1	1	1	4	16
EC:2.7.8.12	41	55	48	36	25	34	25	8	20	29	75	98
EC:2.7.8.13	1403	2044	2392	2024	1466	1962	458	355	600	704	946	2042
EC:2.7.8.15	19	46	63	62	24	32	10	6	11	7	8	4
EC:2.7.8.20	259	370	436	363	285	266	67	30	87	90	224	491
EC:2.7.8.23	718	1138	1101	966	669	985	263	180	321	324	550	1093
EC:2.7.8.24	137	237	247	202	154	190	39	34	69	73	116	313
EC:2.7.8.26	827	1013	1051	939	662	758	246	202	292	297	487	847
EC:2.7.8.28	792	1021	1247	996	672	836	244	185	328	332	464	1017
EC:2.7.8.31	7	16	24	20	12	16	8	5	1	8	9	16
EC:2.7.8.33	1945	2741	3085	2630	1731	2187	578	442	814	791	1317	3211
EC:2.7.8.34	59	90	121	74	38	72	8	22	28	30	52	190
EC:2.7.8.36	6	9	14	10	3	10	2	3	0	3	1	9
EC:2.7.8.37	349	497	425	415	384	333	203	73	86	146	163	264
EC:2.7.8.39	27	47	68	60	28	53	5	11	14	17	42	66
EC:2.7.8.5	2261	3187	3332	3020	2117	2643	776	548	988	1065	1430	3477
EC:2.7.8.6	476	712	803	775	438	562	113	84	163	156	355	417
EC:2.7.8.7	623	977	1000	906	682	781	249	189	273	285	429	1035
EC:2.7.8.8	971	1561	1473	1490	1062	1339	297	248	378	489	684	1773
EC:2.7.9.1	2012	2561	2991	2671	1865	2319	605	577	810	942	1006	2825
EC:2.7.9.2	3876	4055	5038	4137	3300	4086	930	1117	1565	1946	2929	5841
EC:2.7.9.3	1190	1516	1884	1419	1009	1258	408	316	502	499	726	1871
EC:2.7.9.4	60	94	97	36	58	70	11	20	25	24	47	69
EC:2.8.1.-	1978	2901	3069	2851	2094	2605	612	530	958	967	1342	3138
EC:2.8.1.1	2090	2405	2944	2359	1759	2105	683	465	894	844	1209	2929
EC:2.8.1.10	896	1324	1377	1259	887	1097	302	272	404	474	558	1410
EC:2.8.1.12	1044	1342	1485	1328	984	1189	388	275	482	475	673	1683
EC:2.8.1.6	817	1303	1409	1338	884	1099	204	242	369	421	582	1301
EC:2.8.1.7	5162	7301	8000	7270	5325	6404	1592	1415	2130	2364	3560	7990
EC:2.8.1.8	1304	1899	1972	1849	1329	1579	386	386	543	639	754	1821
EC:2.8.2.-	0	1	1	2	0	1	0	0	0	0	1	1
EC:2.8.2.1	245	358	365	330	254	241	15	29	46	63	132	426
EC:2.8.2.2	8	23	16	13	13	9	3	2	8	2	19	57
EC:2.8.2.20	7	6	6	6	7	5	1	0	3	2	1	2
EC:2.8.2.22	18	40	43	42	23	32	11	9	5	11	18	82
EC:2.8.2.3	0	3	4	3	3	2	0	0	0	0	5	1
EC:2.8.2.4	30	33	95	77	18	25	2	6	5	6	17	39
EC:2.8.2.5	5	16	21	12	4	12	8	0	0	3	5	2
EC:2.8.3.-	368	495	566	554	342	444	73	103	164	190	276	491
EC:2.8.3.1	242	369	332	291	223	287	107	57	86	120	166	581
EC:2.8.3.10	86	71	104	69	49	60	12	10	27	37	32	115
EC:2.8.3.12	1461	1574	2078	1579	1102	1460	373	374	605	534	862	1714
EC:2.8.3.15	1312	1478	1617	1395	894	1084	271	367	511	542	1067	1569
EC:2.8.3.16	6823	8767	9830	8059	5332	7139	1869	1680	2553	2667	4616	8268
EC:2.8.3.17	6	10	9	8	4	3	3	1	1	1	3	6
EC:2.8.3.18	74	123	129	97	72	87	50	17	37	32	27	65
EC:2.8.3.20	70	86	103	72	48	88	19	21	29	37	73	91
EC:2.8.3.21	27	24	46	50	9	24	2	7	5	4	12	18
EC:2.8.3.22	63	93	86	79	43	55	18	16	20	30	34	44
EC:2.8.3.5	892	1312	1405	1307	916	1156	321	255	398	478	638	1258
EC:2.8.3.6	242	335	400	299	250	286	117	54	114	139	184	338
EC:2.8.3.8	92	132	153	124	75	125	22	26	50	59	90	227
EC:2.8.4.1	0	1	1	0	0	0	0	0	0	0	0	0
EC:2.9.1.-	118	173	213	178	149	201	69	40	46	86	112	318
EC:2.9.1.1	2191	2861	3168	2802	1918	2445	642	514	825	834	1198	3029
EC:2.9.1.2	2	2	1	5	10	7	1	4	2	3	1	2
EC:3.-	278	302	356	354	293	341	233	119	142	200	259	367
EC:3.1.-	12706	17942	19453	17843	12166	15501	4099	3262	5173	5504	8576	17844
EC:3.1.1.-	7355	11353	10973	11629	7871	8783	2657	1612	2568	2853	4515	9833
EC:3.1.1.1	510	615	747	616	443	521	186	113	221	214	324	795
EC:3.1.1.11	404	779	719	544	502	541	271	124	198	232	357	1023
EC:3.1.1.15	85	87	85	100	66	65	33	13	25	35	42	71
EC:3.1.1.17	3124	5310	5285	4756	3411	4134	837	675	1166	1389	2325	5946
EC:3.1.1.2	23	42	26	33	12	30	6	5	5	7	18	33
