 ,Area,Mean,StdDev,Min,Max,Perim.,Major,Minor,Angle,Circ.,%Area,AR,Round,Solidity
347,0.144,0,0,0,0,1.368,0.462,0.396,26.730,0.965,100,1.165,0.858,0.892
348,0.218,0,0,0,0,1.703,0.572,0.485,88.569,0.944,100,1.179,0.848,0.877
349,0.135,0,0,0,0,1.516,0.566,0.304,55.687,0.738,100,1.866,0.536,0.838
350,0.296,0,0,0,0,2.169,0.785,0.481,141.635,0.791,100,1.632,0.613,0.840
351,0.157,0,0,0,0,1.461,0.498,0.401,90.069,0.923,100,1.240,0.806,0.878
352,1.098,0,0,0,0,4.423,1.854,0.754,27.405,0.705,100,2.459,0.407,0.918
353,0.379,0,0,0,0,2.247,0.798,0.604,117.942,0.943,100,1.321,0.757,0.906
354,1.106,0,0,0,0,4.088,1.346,1.047,94.346,0.832,100,1.285,0.778,0.904
355,0.296,0,0,0,0,2.060,0.719,0.524,87.919,0.877,100,1.371,0.729,0.855
356,0.248,0,0,0,0,1.835,0.599,0.528,10.299,0.927,100,1.136,0.880,0.884
357,0.305,0,0,0,0,2.379,0.677,0.574,92.519,0.677,100,1.179,0.848,0.864
358,0.828,0,0,0,0,3.389,1.115,0.945,157.021,0.905,100,1.179,0.848,0.916
359,0.462,0,0,0,0,3.071,0.962,0.611,44.497,0.615,100,1.575,0.635,0.841
360,0.479,0,0,0,0,2.704,0.920,0.663,86.823,0.823,100,1.387,0.721,0.936
361,0.213,0,0,0,0,1.703,0.531,0.512,170.941,0.925,100,1.037,0.965,0.891
362,0.553,0,0,0,0,2.829,1.006,0.700,112.050,0.868,100,1.437,0.696,0.907
363,0.052,0,0,0,0,0.933,0.322,0.206,116.112,0.754,100,1.561,0.640,0.750
364,0.427,0,0,0,0,2.611,1.101,0.494,87.532,0.787,100,2.232,0.448,0.951
365,0.449,0,0,0,0,2.620,0.974,0.586,160.711,0.821,100,1.662,0.602,0.877
366,0.266,0,0,0,0,1.851,0.687,0.492,130.416,0.975,100,1.395,0.717,0.891
367,0.205,0,0,0,0,1.780,0.535,0.488,59.548,0.812,100,1.097,0.912,0.862
368,0.196,0,0,0,0,1.905,0.541,0.461,148.848,0.678,100,1.172,0.853,0.811
369,0.244,0,0,0,0,1.835,0.587,0.529,102.745,0.911,100,1.111,0.900,0.896
370,0.231,0,0,0,0,1.764,0.627,0.469,91.364,0.932,100,1.335,0.749,0.930
371,0.632,0,0,0,0,4.075,0.941,0.855,162.481,0.478,100,1.100,0.909,0.782
372,0.658,0,0,0,0,3.296,1.162,0.721,84.709,0.761,100,1.612,0.620,0.856
373,0.322,0,0,0,0,2.488,0.839,0.489,142.973,0.654,100,1.714,0.583,0.846
374,0.274,0,0,0,0,2.263,0.760,0.460,22.282,0.674,100,1.653,0.605,0.813
375,0.379,0,0,0,0,2.527,0.981,0.492,37.907,0.746,100,1.992,0.502,0.841
376,1.141,0,0,0,0,4.049,1.330,1.092,152.007,0.875,100,1.218,0.821,0.929
377,0.222,0,0,0,0,1.889,0.614,0.461,10.692,0.782,100,1.331,0.751,0.816
378,0.274,0,0,0,0,2.021,0.628,0.557,25.586,0.844,100,1.128,0.887,0.846
